depth,gasage,[CO2],sigma_[CO2],core,reference
1768.0,65545.7,209.0,3.3,3,2
1770.6,65763.2,198.2,0.7,3,2
1772.9,65938.7,200.6,1.5,3,2
1780.0,66439.1,204.4,2.9,3,2
1787.0,66960.4,207.2,1.7,3,2
1792.0,67312.7,201.1,2.0,3,2
1798.0,67727.6,203.8,1.1,3,2
1804.0,68145.9,200.2,1.6,3,2
1810.0,68620.1,203.4,0.6,3,2
1816.0,69081.6,205.4,0.9,3,2
1822.0,69591.9,211.3,1.1,3,2
1828.9,70054.0,215.6,1.8,3,2
1834.0,70427.2,220.3,0.5,3,2
1840.9,70925.5,225.2,1.4,3,2
1846.0,71279.3,235.0,1.2,3,2
1851.9,71693.7,237.6,0.8,3,2
1857.9,72092.6,239.5,0.9,3,2
1863.9,72490.4,232.8,0.9,3,2
1869.9,72866.0,232.3,1.0,3,2
1875.9,73218.2,230.9,2.1,3,2
1882.9,73750.9,232.7,0.9,3,2
1888.9,74224.7,231.3,0.7,3,2
1892.9,74526.1,241.2,1.0,3,2
1899.9,75068.1,243.3,1.6,3,2
1907.0,75543.3,249.5,0.7,3,2
1911.9,75848.1,249.9,0.6,3,2
1917.9,76247.6,239.3,1.1,3,2
1923.9,76696.4,238.0,2.0,3,2
1928.9,77054.4,231.7,1.5,3,2
1935.9,77615.0,224.9,1.3,3,2
1942.0,78079.1,226.6,0.8,3,2
1947.9,78509.3,224.1,0.6,3,2
1953.9,78970.1,227.3,0.6,3,2
1959.9,79411.2,229.3,1.3,3,2
1966.0,79876.1,234.7,0.7,3,2
1971.9,80328.8,230.6,0.6,3,2
1976.9,80722.6,233.9,1.5,3,2
1983.9,81206.5,230.3,0.8,3,2
1990.9,81711.1,234.1,1.2,3,2
1995.9,82069.1,238.9,0.9,3,2
2002.0,82525.5,240.9,1.6,3,2
2007.9,82987.8,246.3,0.7,3,2
2015.0,83555.2,247.1,1.0,3,2
2019.9,83939.1,250.8,0.8,3,2
2025.0,84358.0,243.2,0.8,3,2
2031.9,84935.9,238.4,1.1,3,2
2036.9,85368.4,234.7,0.6,3,2
2042.9,85890.5,228.8,1.6,3,2
2050.0,86499.5,223.4,0.7,3,2
2055.9,87027.6,221.1,2.3,3,2
2062.0,87580.1,223.6,0.9,3,2
2067.9,88134.9,217.8,1.6,3,2
2074.0,88700.7,224.0,0.5,3,2
2079.9,89246.3,227.4,1.1,3,2
2084.9,89696.0,228.9,0.6,3,2
2091.9,90317.5,229.7,1.3,3,2
2097.9,90832.7,231.6,0.6,3,2
2103.9,91445.2,231.1,0.6,3,2
2108.9,91948.5,233.7,1.1,3,2
2115.9,92667.4,232.5,2.2,3,2
2123.0,93426.2,235.2,0.8,3,2
2126.9,93822.8,238.2,0.8,3,2
2134.0,94568.6,242.4,0.5,3,2
2139.9,95232.3,242.9,1.1,3,2
2146.0,95922.3,246.2,1.5,3,2
2150.9,96473.8,245.8,0.6,3,2
2157.9,97271.5,242.4,2.0,3,2
2163.9,97926.8,239.9,0.4,3,2
2169.9,98584.3,243.2,0.2,3,2
2176.9,99358.9,243.0,1.0,3,3
2176.9,99358.9,243.0,1.0,3,2
2183.0,100077.0,245.6,1.1,3,3
2183.0,100077.0,245.6,1.1,3,2
2186.9,100542.0,247.9,1.1,3,3
2186.9,100542.0,247.9,1.1,3,2
2193.9,101326.0,244.8,1.1,3,3
2193.9,101326.0,244.8,1.1,3,2
2199.9,101970.0,240.1,0.9,3,3
2199.9,101970.0,240.1,0.9,3,2
2207.0,102762.0,237.1,1.8,3,3
2207.0,102762.0,237.1,1.8,3,2
2210.9,103308.0,240.7,0.9,3,3
2210.9,103308.0,240.7,0.9,3,2
2217.9,104275.0,247.8,0.8,3,3
2217.9,104275.0,247.8,0.8,3,2
2223.9,105121.0,251.6,0.9,3,3
2223.9,105121.0,251.6,0.9,3,2
2228.9,105889.0,262.7,1.4,3,2
2229.1,105912.0,262.7,1.4,3,3
2236.9,107161.0,241.6,1.5,3,3
2236.9,107161.0,241.6,1.5,3,2
2242.0,108067.0,239.8,1.3,3,3
2242.0,108067.0,239.8,1.3,3,2
2247.9,109004.0,245.2,2.1,3,3
2247.9,109004.0,245.2,2.1,3,2
2253.0,109750.0,251.7,1.9,3,3
2253.0,109750.0,251.7,1.9,3,2
2259.9,110770.0,254.0,1.6,3,3
